#    L    TT             EE             BB             TE          
     2   0.102674E+04   0.321583E-01   0.167406E-05   0.266903E+01
     3   0.971109E+03   0.419471E-01   0.334861E-05   0.301457E+01
     4   0.917926E+03   0.370192E-01   0.558208E-05   0.284326E+01
     5   0.878245E+03   0.251707E-01   0.837510E-05   0.243335E+01
     6   0.851117E+03   0.142796E-01   0.117285E-04   0.196785E+01
     7   0.833845E+03   0.769867E-02   0.156431E-04   0.154914E+01
     8   0.823436E+03   0.486333E-02   0.201200E-04   0.122341E+01
     9   0.818478E+03   0.385766E-02   0.251603E-04   0.998325E+00
    10   0.817510E+03   0.330473E-02   0.307655E-04   0.867522E+00
    11   0.819136E+03   0.279191E-02   0.369369E-04   0.814279E+00
    12   0.823960E+03   0.254147E-02   0.436759E-04   0.819438E+00
    13   0.830335E+03   0.229333E-02   0.509842E-04   0.858911E+00
    14   0.837367E+03   0.232429E-02   0.588634E-04   0.909751E+00
    15   0.845451E+03   0.253350E-02   0.673152E-04   0.965934E+00
    16   0.855098E+03   0.274888E-02   0.763414E-04   0.102621E+01
    17   0.866299E+03   0.311126E-02   0.859438E-04   0.108829E+01
    18   0.878159E+03   0.362387E-02   0.961242E-04   0.115161E+01
    19   0.891516E+03   0.427469E-02   0.106884E-03   0.121668E+01
    20   0.904698E+03   0.509540E-02   0.118226E-03   0.128193E+01
    21   0.918074E+03   0.604021E-02   0.130151E-03   0.135073E+01
    22   0.931944E+03   0.712994E-02   0.142662E-03   0.142498E+01
    23   0.946138E+03   0.836986E-02   0.155759E-03   0.150082E+01
    24   0.960731E+03   0.973242E-02   0.169445E-03   0.157348E+01
    25   0.975676E+03   0.112456E-01   0.183720E-03   0.164044E+01
    26   0.990796E+03   0.129082E-01   0.198588E-03   0.170122E+01
    27   0.100633E+04   0.147106E-01   0.214048E-03   0.175422E+01
    28   0.102214E+04   0.166705E-01   0.230102E-03   0.179900E+01
    29   0.103826E+04   0.188095E-01   0.246752E-03   0.183589E+01
    30   0.105460E+04   0.211552E-01   0.263998E-03   0.186453E+01
    31   0.107101E+04   0.237157E-01   0.281842E-03   0.188741E+01
    32   0.108777E+04   0.264812E-01   0.300284E-03   0.190641E+01
    33   0.110487E+04   0.294402E-01   0.319325E-03   0.191835E+01
    34   0.112216E+04   0.325970E-01   0.338965E-03   0.192048E+01
    35   0.113958E+04   0.359749E-01   0.359205E-03   0.191396E+01
    36   0.115706E+04   0.396030E-01   0.380045E-03   0.189939E+01
    37   0.117463E+04   0.434832E-01   0.401486E-03   0.187515E+01
    38   0.119261E+04   0.476147E-01   0.423527E-03   0.184122E+01
    39   0.121097E+04   0.519863E-01   0.446168E-03   0.179732E+01
    40   0.122945E+04   0.565893E-01   0.469410E-03   0.174290E+01
    41   0.124816E+04   0.614243E-01   0.493250E-03   0.167723E+01
    42   0.126687E+04   0.665083E-01   0.517690E-03   0.159961E+01
    43   0.128572E+04   0.718619E-01   0.542729E-03   0.150938E+01
    44   0.130456E+04   0.774913E-01   0.568366E-03   0.140675E+01
    45   0.132375E+04   0.834125E-01   0.594600E-03   0.129204E+01
    46   0.134322E+04   0.896398E-01   0.621430E-03   0.116365E+01
    47   0.136282E+04   0.961642E-01   0.648856E-03   0.102235E+01
    48   0.138250E+04   0.102979E+00   0.676877E-03   0.872113E+00
    49   0.140233E+04   0.110053E+00   0.705491E-03   0.716356E+00
    50   0.142254E+04   0.117351E+00   0.734698E-03   0.551691E+00
    51   0.144292E+04   0.124834E+00   0.764497E-03   0.373369E+00
    52   0.146368E+04   0.132593E+00   0.794887E-03   0.176809E+00
    53   0.148445E+04   0.140782E+00   0.825867E-03  -0.406839E-01
    54   0.150513E+04   0.149402E+00   0.857436E-03  -0.273833E+00
    55   0.152596E+04   0.158437E+00   0.889592E-03  -0.517247E+00
    56   0.154714E+04   0.167749E+00   0.922336E-03  -0.771875E+00
    57   0.156861E+04   0.177227E+00   0.955667E-03  -0.103773E+01
    58   0.159037E+04   0.186874E+00   0.989583E-03  -0.131582E+01
    59   0.161229E+04   0.196723E+00   0.102408E-02  -0.160716E+01
    60   0.163438E+04   0.206823E+00   0.105917E-02  -0.191137E+01
    61   0.165693E+04   0.217262E+00   0.109484E-02  -0.222783E+01
    62   0.167937E+04   0.228028E+00   0.113109E-02  -0.255750E+01
    63   0.170191E+04   0.239086E+00   0.116793E-02  -0.290135E+01
    64   0.172486E+04   0.250449E+00   0.120535E-02  -0.326059E+01
    65   0.174784E+04   0.262095E+00   0.124336E-02  -0.363581E+01
    66   0.177114E+04   0.273960E+00   0.128195E-02  -0.402516E+01
    67   0.179461E+04   0.286044E+00   0.132113E-02  -0.442601E+01
    68   0.181850E+04   0.298387E+00   0.136089E-02  -0.483681E+01
    69   0.184257E+04   0.310948E+00   0.140123E-02  -0.525596E+01
    70   0.186694E+04   0.323766E+00   0.144216E-02  -0.568527E+01
    71   0.189146E+04   0.336829E+00   0.148368E-02  -0.612721E+01
    72   0.191614E+04   0.350110E+00   0.152579E-02  -0.658298E+01
    73   0.194099E+04   0.363576E+00   0.156849E-02  -0.705299E+01
