#    L    TT             EE             TE             PP             TP          
     2   0.102674E+04   0.321566E-01   0.266903E+01   0.103698E+07   0.282537E+05
     3   0.971102E+03   0.419437E-01   0.301457E+01   0.159717E+07   0.336941E+05
     4   0.917916E+03   0.370136E-01   0.284326E+01   0.209377E+07   0.361892E+05
     5   0.878228E+03   0.251624E-01   0.243335E+01   0.253219E+07   0.371347E+05
     6   0.851094E+03   0.142679E-01   0.196785E+01   0.291926E+07   0.372460E+05
     7   0.833815E+03   0.768303E-02   0.154914E+01   0.326258E+07   0.369160E+05
     8   0.823398E+03   0.484321E-02   0.122341E+01   0.356828E+07   0.363062E+05
     9   0.818430E+03   0.383250E-02   0.998332E+00   0.384172E+07   0.354953E+05
    10   0.817451E+03   0.327396E-02   0.867531E+00   0.408664E+07   0.345743E+05
    11   0.819065E+03   0.275498E-02   0.814293E+00   0.430758E+07   0.336534E+05
    12   0.823877E+03   0.249780E-02   0.819458E+00   0.450620E+07   0.327749E+05
    13   0.830239E+03   0.224235E-02   0.858937E+00   0.468496E+07   0.319299E+05
    14   0.837257E+03   0.226543E-02   0.909786E+00   0.484653E+07   0.310991E+05
    15   0.845326E+03   0.246620E-02   0.965978E+00   0.499258E+07   0.302554E+05
    16   0.854956E+03   0.267256E-02   0.102626E+01   0.512455E+07   0.293828E+05
    17   0.866141E+03   0.302535E-02   0.108836E+01   0.524394E+07   0.285153E+05
    18   0.877983E+03   0.352778E-02   0.115170E+01   0.535209E+07   0.276908E+05
    19   0.891322E+03   0.416786E-02   0.121679E+01   0.544970E+07   0.269108E+05
    20   0.904485E+03   0.497724E-02   0.128206E+01   0.553740E+07   0.261682E+05
    21   0.917841E+03   0.591015E-02   0.135089E+01   0.561626E+07   0.254566E+05
    22   0.931691E+03   0.698741E-02   0.142517E+01   0.568734E+07   0.247711E+05
    23   0.945864E+03   0.821427E-02   0.150103E+01   0.575114E+07   0.241116E+05
    24   0.960435E+03   0.956319E-02   0.157374E+01   0.580810E+07   0.234790E+05
    25   0.975357E+03   0.110622E-01   0.164073E+01   0.585879E+07   0.228723E+05
    26   0.990455E+03   0.127100E-01   0.170156E+01   0.590382E+07   0.222893E+05
    27   0.100597E+04   0.144970E-01   0.175460E+01   0.594365E+07   0.217248E+05
    28   0.102175E+04   0.164409E-01   0.179944E+01   0.597867E+07   0.211749E+05
    29   0.103785E+04   0.185634E-01   0.183639E+01   0.600894E+07   0.206443E+05
    30   0.105416E+04   0.208921E-01   0.186508E+01   0.603457E+07   0.201379E+05
    31   0.107055E+04   0.234348E-01   0.188802E+01   0.605611E+07   0.196542E+05
    32   0.108728E+04   0.261821E-01   0.190710E+01   0.607412E+07   0.191904E+05
    33   0.110436E+04   0.291223E-01   0.191911E+01   0.608881E+07   0.187441E+05
    34   0.112161E+04   0.322597E-01   0.192132E+01   0.610034E+07   0.183125E+05
    35   0.113901E+04   0.356177E-01   0.191488E+01   0.610893E+07   0.178926E+05
    36   0.115647E+04   0.392253E-01   0.190040E+01   0.611477E+07   0.174827E+05
    37   0.117401E+04   0.430845E-01   0.187625E+01   0.611808E+07   0.170895E+05
    38   0.119195E+04   0.471945E-01   0.184241E+01   0.611903E+07   0.167190E+05
    39   0.121029E+04   0.515439E-01   0.179861E+01   0.611775E+07   0.163674E+05
    40   0.122874E+04   0.561243E-01   0.174430E+01   0.611433E+07   0.160287E+05
    41   0.124742E+04   0.609362E-01   0.167873E+01   0.610891E+07   0.156976E+05
    42   0.126610E+04   0.659965E-01   0.160122E+01   0.610159E+07   0.153738E+05
    43   0.128492E+04   0.713260E-01   0.151109E+01   0.609252E+07   0.150577E+05
    44   0.130373E+04   0.769306E-01   0.140858E+01   0.608181E+07   0.147500E+05
    45   0.132289E+04   0.828268E-01   0.129398E+01   0.606960E+07   0.144512E+05
    46   0.134233E+04   0.890284E-01   0.116570E+01   0.605600E+07   0.141618E+05
    47   0.136191E+04   0.955267E-01   0.102451E+01   0.604110E+07   0.138814E+05
    48   0.138155E+04   0.102314E+00   0.874394E+00   0.602500E+07   0.136092E+05
    49   0.140135E+04   0.109362E+00   0.718750E+00   0.600778E+07   0.133448E+05
    50   0.142153E+04   0.116632E+00   0.554198E+00   0.598951E+07   0.130875E+05
    51   0.144187E+04   0.124088E+00   0.375987E+00   0.597029E+07   0.128369E+05
    52   0.146260E+04   0.131819E+00   0.179534E+00   0.595018E+07   0.125933E+05
    53   0.148334E+04   0.139979E+00  -0.378540E-01   0.592922E+07   0.123574E+05
    54   0.150400E+04   0.148570E+00  -0.270903E+00   0.590747E+07   0.121296E+05
    55   0.152479E+04   0.157576E+00  -0.514221E+00   0.588500E+07   0.119106E+05
    56   0.154594E+04   0.166858E+00  -0.768760E+00   0.586184E+07   0.117006E+05
    57   0.156737E+04   0.176306E+00  -0.103453E+01   0.583804E+07   0.114989E+05
    58   0.158910E+04   0.185923E+00  -0.131254E+01   0.581362E+07   0.113043E+05
    59   0.161099E+04   0.195741E+00  -0.160382E+01   0.578862E+07   0.111159E+05
    60   0.163304E+04   0.205810E+00  -0.190798E+01   0.576307E+07   0.109324E+05
    61   0.165557E+04   0.216218E+00  -0.222439E+01   0.573701E+07   0.107531E+05
    62   0.167797E+04   0.226953E+00  -0.255402E+01   0.571048E+07   0.105773E+05
    63   0.170048E+04   0.237979E+00  -0.289785E+01   0.568354E+07   0.104048E+05
    64   0.172339E+04   0.249310E+00  -0.325708E+01   0.565623E+07   0.102350E+05
    65   0.174633E+04   0.260924E+00  -0.363230E+01   0.562861E+07   0.100677E+05
    66   0.176961E+04   0.272757E+00  -0.402168E+01   0.560071E+07   0.990264E+04
    67   0.179304E+04   0.284809E+00  -0.442256E+01   0.557259E+07   0.974049E+04
    68   0.181689E+04   0.297119E+00  -0.483342E+01   0.554424E+07   0.958209E+04
    69   0.184093E+04   0.309647E+00  -0.525264E+01   0.551571E+07   0.942830E+04
    70   0.186527E+04   0.322432E+00  -0.568204E+01   0.548701E+07   0.927997E+04
    71   0.188975E+04   0.335463E+00  -0.612410E+01   0.545817E+07   0.913771E+04
    72   0.191441E+04   0.348711E+00  -0.658001E+01   0.542919E+07   0.900112E+04
    73   0.193921E+04   0.362143E+00  -0.705018E+01   0.540007E+07   0.886955E+04
    74   0.196422E+04   0.375747E+00  -0.753350E+01   0.537083E+07   0.874236E+04
    75   0.198956E+04   0.389533E+00  -0.802829E+01   0.534146E+07   0.861892E+04
    76   0.201517E+04   0.403502E+00  -0.853373E+01   0.531198E+07   0.849860E+04
    77   0.204113E+04   0.417644E+00  -0.904962E+01   0.528240E+07   0.838100E+04
    78   0.206745E+04   0.431985E+00  -0.957739E+01   0.525274E+07   0.826571E+04
    79   0.209395E+04   0.446468E+00  -0.101133E+02   0.522302E+07   0.815237E+04
    80   0.212074E+04   0.461098E+00  -0.106586E+02   0.519327E+07   0.804058E+04
    81   0.214772E+04   0.475823E+00  -0.112141E+02   0.516350E+07   0.793006E+04
    82   0.217496E+04   0.490665E+00  -0.117787E+02   0.513374E+07   0.782098E+04
    83   0.220238E+04   0.505600E+00  -0.123523E+02   0.510399E+07   0.771358E+04
    84   0.223007E+04   0.520624E+00  -0.129331E+02   0.507427E+07   0.760814E+04
    85   0.225788E+04   0.535713E+00  -0.135223E+02   0.504459E+07   0.750493E+04
    86   0.228591E+04   0.550880E+00  -0.141190E+02   0.501496E+07   0.740413E+04
    87   0.231436E+04   0.566093E+00  -0.147223E+02   0.498540E+07   0.730576E+04
    88   0.234280E+04   0.581367E+00  -0.153322E+02   0.495592E+07   0.720975E+04
    89   0.237161E+04   0.596687E+00  -0.159502E+02   0.492651E+07   0.711603E+04
    90   0.240063E+04   0.612016E+00  -0.165730E+02   0.489719E+07   0.702454E+04
    91   0.242979E+04   0.627345E+00  -0.172016E+02   0.486797E+07   0.693523E+04
    92   0.245924E+04   0.642660E+00  -0.178351E+02   0.483885E+07   0.684802E+04
    93   0.248899E+04   0.657954E+00  -0.184736E+02   0.480983E+07   0.676284E+04
    94   0.251881E+04   0.673189E+00  -0.191156E+02   0.478092E+07   0.667963E+04
    95   0.254893E+04   0.688366E+00  -0.197619E+02   0.475212E+07   0.659832E+04
    96   0.257904E+04   0.703470E+00  -0.204118E+02   0.472344E+07   0.651883E+04
    97   0.260960E+04   0.718486E+00  -0.210646E+02   0.469487E+07   0.644110E+04
    98   0.264038E+04   0.733407E+00  -0.217180E+02   0.466642E+07   0.636506E+04
    99   0.267123E+04   0.748195E+00  -0.223751E+02   0.463810E+07   0.629065E+04
   100   0.270239E+04   0.762852E+00  -0.230314E+02   0.460991E+07   0.621778E+04
   101   0.273370E+04   0.777436E+00  -0.236900E+02   0.458186E+07   0.614640E+04
   102   0.276553E+04   0.791799E+00  -0.243487E+02   0.455393E+07   0.607643E+04
   103   0.279729E+04   0.806016E+00  -0.250082E+02   0.452615E+07   0.600781E+04
   104   0.282928E+04   0.820086E+00  -0.256655E+02   0.449852E+07   0.594046E+04
   105   0.286143E+04   0.833935E+00  -0.263223E+02   0.447103E+07   0.587432E+04
   106   0.289380E+04   0.847639E+00  -0.269778E+02   0.444369E+07   0.580932E+04
   107   0.292611E+04   0.861048E+00  -0.276304E+02   0.441650E+07   0.574539E+04
   108   0.295880E+04   0.874236E+00  -0.282811E+02   0.438948E+07   0.568246E+04
   109   0.299164E+04   0.887131E+00  -0.289284E+02   0.436261E+07   0.562046E+04
   110   0.302457E+04   0.899731E+00  -0.295707E+02   0.433592E+07   0.555933E+04
   111   0.305766E+04   0.912111E+00  -0.302097E+02   0.430939E+07   0.549900E+04
   112   0.309091E+04   0.924196E+00  -0.308445E+02   0.428303E+07   0.543946E+04
   113   0.312440E+04   0.935987E+00  -0.314735E+02   0.425684E+07   0.538072E+04
   114   0.315796E+04   0.947409E+00  -0.320962E+02   0.423082E+07   0.532278E+04
   115   0.319176E+04   0.958610E+00  -0.327122E+02   0.420497E+07   0.526563E+04
   116   0.322557E+04   0.969366E+00  -0.333210E+02   0.417930E+07   0.520928E+04
   117   0.325969E+04   0.979752E+00  -0.339217E+02   0.415379E+07   0.515373E+04
   118   0.329396E+04   0.989917E+00  -0.345151E+02   0.412846E+07   0.509899E+04
   119   0.332824E+04   0.999710E+00  -0.350988E+02   0.410330E+07   0.504504E+04
   120   0.336267E+04   0.100898E+01  -0.356728E+02   0.407831E+07   0.499189E+04
   121   0.339711E+04   0.101803E+01  -0.362370E+02   0.405350E+07   0.493954E+04
   122   0.343163E+04   0.102657E+01  -0.367908E+02   0.402886E+07   0.488800E+04
   123   0.346624E+04   0.103465E+01  -0.373340E+02   0.400439E+07   0.483726E+04
   124   0.350092E+04   0.104236E+01  -0.378636E+02   0.398010E+07   0.478733E+04
   125   0.353560E+04   0.104963E+01  -0.383819E+02   0.395598E+07   0.473820E+04
   126   0.357037E+04   0.105652E+01  -0.388880E+02   0.393204E+07   0.468988E+04
   127   0.360514E+04   0.106289E+01  -0.393812E+02   0.390828E+07   0.464237E+04
   128   0.363991E+04   0.106889E+01  -0.398607E+02   0.388469E+07   0.459566E+04
   129   0.367476E+04   0.107436E+01  -0.403256E+02   0.386127E+07   0.454976E+04
   130   0.370962E+04   0.107931E+01  -0.407753E+02   0.383804E+07   0.450467E+04
   131   0.374448E+04   0.108389E+01  -0.412111E+02   0.381498E+07   0.446039E+04
