#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2   0.102674E+04   0.266903E+01   0.303100E-02   0.266903E+01   0.321566E-01  -0.124799E-04   0.303100E-02  -0.124799E-04   0.499896E-07
     3   0.971102E+03   0.301457E+01   0.302925E-02   0.301457E+01   0.419437E-01  -0.135082E-04   0.302925E-02  -0.135082E-04   0.608353E-07
     4   0.917916E+03   0.284326E+01   0.295337E-02   0.284326E+01   0.370136E-01  -0.115751E-04   0.295337E-02  -0.115751E-04   0.700932E-07
     5   0.878228E+03   0.243335E+01   0.285053E-02   0.243335E+01   0.251624E-01  -0.804256E-05   0.285053E-02  -0.804256E-05   0.781244E-07
     6   0.851094E+03   0.196785E+01   0.274078E-02   0.196785E+01   0.142679E-01  -0.407708E-05   0.274078E-02  -0.407708E-05   0.851321E-07
     7   0.833815E+03   0.154914E+01   0.263376E-02   0.154914E+01   0.768303E-02  -0.590588E-06   0.263376E-02  -0.590588E-06   0.913005E-07
     8   0.823398E+03   0.122341E+01   0.252979E-02   0.122341E+01   0.484321E-02   0.181362E-05   0.252979E-02   0.181362E-05   0.967591E-07
     9   0.818430E+03   0.998332E+00   0.242762E-02   0.998332E+00   0.383250E-02   0.289430E-05   0.242762E-02   0.289430E-05   0.101618E-06
    10   0.817451E+03   0.867531E+00   0.232925E-02   0.867531E+00   0.327396E-02   0.279823E-05   0.232925E-02   0.279823E-05   0.105945E-06
    11   0.819065E+03   0.814293E+00   0.223917E-02   0.814293E+00   0.275498E-02   0.194645E-05   0.223917E-02   0.194645E-05   0.109834E-06
    12   0.823877E+03   0.819458E+00   0.215801E-02   0.819458E+00   0.249780E-02   0.806821E-06   0.215801E-02   0.806821E-06   0.113308E-06
    13   0.830239E+03   0.858937E+00   0.208376E-02   0.858937E+00   0.224235E-02  -0.309426E-06   0.208376E-02  -0.309426E-06   0.116413E-06
    14   0.837257E+03   0.909786E+00   0.201402E-02   0.909786E+00   0.226543E-02  -0.115358E-05   0.201402E-02  -0.115358E-05   0.119202E-06
    15   0.845326E+03   0.965978E+00   0.194635E-02   0.965978E+00   0.246620E-02  -0.156017E-05   0.194635E-02  -0.156017E-05   0.121705E-06
    16   0.854956E+03   0.102626E+01   0.187915E-02   0.102626E+01   0.267256E-02  -0.144618E-05   0.187915E-02  -0.144618E-05   0.123948E-06
    17   0.866141E+03   0.108836E+01   0.181421E-02   0.108836E+01   0.302535E-02  -0.975172E-06   0.181421E-02  -0.975172E-06   0.125960E-06
    18   0.877983E+03   0.115170E+01   0.175359E-02   0.115170E+01   0.352778E-02  -0.379257E-06   0.175359E-02  -0.379257E-06   0.127765E-06
    19   0.891322E+03   0.121679E+01   0.169713E-02   0.121679E+01   0.416786E-02   0.818009E-07   0.169713E-02   0.818009E-07   0.129376E-06
    20   0.904485E+03   0.128206E+01   0.164411E-02   0.128206E+01   0.497724E-02   0.212267E-06   0.164411E-02   0.212267E-06   0.130801E-06
    21   0.917841E+03   0.135089E+01   0.159397E-02   0.135089E+01   0.591015E-02   0.100177E-06   0.159397E-02   0.100177E-06   0.132063E-06
    22   0.931691E+03   0.142517E+01   0.154624E-02   0.142517E+01   0.698741E-02  -0.111819E-06   0.154624E-02  -0.111819E-06   0.133182E-06
    23   0.945864E+03   0.150103E+01   0.150081E-02   0.150103E+01   0.821427E-02  -0.346400E-06   0.150081E-02  -0.346400E-06   0.134168E-06
    24   0.960435E+03   0.157374E+01   0.145763E-02   0.157374E+01   0.956319E-02  -0.554427E-06   0.145763E-02  -0.554427E-06   0.135027E-06
    25   0.975357E+03   0.164073E+01   0.141656E-02   0.164073E+01   0.110622E-01  -0.734184E-06   0.141656E-02  -0.734184E-06   0.135770E-06
    26   0.990455E+03   0.170156E+01   0.137739E-02   0.170156E+01   0.127100E-01  -0.879393E-06   0.137739E-02  -0.879393E-06   0.136408E-06
    27   0.100597E+04   0.175460E+01   0.133974E-02   0.175460E+01   0.144970E-01  -0.918101E-06   0.133974E-02  -0.918101E-06   0.136952E-06
    28   0.102175E+04   0.179944E+01   0.130334E-02   0.179944E+01   0.164409E-01  -0.789822E-06   0.130334E-02  -0.789822E-06   0.137408E-06
    29   0.103785E+04   0.183639E+01   0.126841E-02   0.183639E+01   0.185634E-01  -0.545596E-06   0.126841E-02  -0.545596E-06   0.137775E-06
    30   0.105416E+04   0.186508E+01   0.123523E-02   0.186508E+01   0.208921E-01  -0.273361E-06   0.123523E-02  -0.273361E-06   0.138056E-06
    31   0.107055E+04   0.188802E+01   0.120368E-02   0.188802E+01   0.234348E-01  -0.971165E-07   0.120368E-02  -0.971165E-07   0.138260E-06
    32   0.108728E+04   0.190710E+01   0.117356E-02   0.190710E+01   0.261821E-01  -0.115169E-06   0.117356E-02  -0.115169E-06   0.138401E-06
    33   0.110436E+04   0.191911E+01   0.114468E-02   0.191911E+01   0.291223E-01  -0.287006E-06   0.114468E-02  -0.287006E-06   0.138481E-06
    34   0.112161E+04   0.192132E+01   0.111688E-02   0.192132E+01   0.322597E-01  -0.528743E-06   0.111688E-02  -0.528743E-06   0.138503E-06
    35   0.113901E+04   0.191488E+01   0.108993E-02   0.191488E+01   0.356177E-01  -0.721817E-06   0.108993E-02  -0.721817E-06   0.138472E-06
    36   0.115647E+04   0.190040E+01   0.106373E-02   0.190040E+01   0.392253E-01  -0.767956E-06   0.106373E-02  -0.767956E-06   0.138391E-06
    37   0.117401E+04   0.187625E+01   0.103867E-02   0.187625E+01   0.430845E-01  -0.684726E-06   0.103867E-02  -0.684726E-06   0.138263E-06
    38   0.119195E+04   0.184241E+01   0.101509E-02   0.184241E+01   0.471945E-01  -0.520952E-06   0.101509E-02  -0.520952E-06   0.138093E-06
    39   0.121029E+04   0.179861E+01   0.992767E-03   0.179861E+01   0.515439E-01  -0.334654E-06   0.992767E-03  -0.334654E-06   0.137883E-06
    40   0.122874E+04   0.174430E+01   0.971309E-03   0.174430E+01   0.561243E-01  -0.186151E-06   0.971309E-03  -0.186151E-06   0.137634E-06
    41   0.124742E+04   0.167873E+01   0.950401E-03   0.167873E+01   0.609362E-01  -0.121125E-06   0.950401E-03  -0.121125E-06   0.137348E-06
    42   0.126610E+04   0.160122E+01   0.930001E-03   0.160122E+01   0.659965E-01  -0.126702E-06   0.930001E-03  -0.126702E-06   0.137028E-06
    43   0.128492E+04   0.151109E+01   0.910142E-03   0.151109E+01   0.713260E-01  -0.175372E-06   0.910142E-03  -0.175372E-06   0.136676E-06
    44   0.130373E+04   0.140858E+01   0.890852E-03   0.140858E+01   0.769306E-01  -0.239624E-06   0.890852E-03  -0.239624E-06   0.136295E-06
    45   0.132289E+04   0.129398E+01   0.872162E-03   0.129398E+01   0.828268E-01  -0.291946E-06   0.872162E-03  -0.291946E-06   0.135887E-06
