#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.104335E-04   0.228156E+07   0.228156E+07   0.304191E+07   0.304191E+07   0.229158E+07   0.228160E+07   0.228156E+07   0.229009E+07  -0.600478E+00   0.227722E+07   0.227722E+07   0.536509E-01
   0.115203E-04   0.228156E+07   0.228156E+07   0.304188E+07   0.304187E+07   0.229158E+07   0.228160E+07   0.228156E+07   0.229009E+07  -0.600478E+00   0.227722E+07   0.227722E+07   0.592396E-01
   0.127204E-04   0.228155E+07   0.228155E+07   0.304183E+07   0.304183E+07   0.229157E+07   0.228160E+07   0.228155E+07   0.229009E+07  -0.600478E+00   0.227722E+07   0.227722E+07   0.654105E-01
   0.140455E-04   0.228155E+07   0.228155E+07   0.304178E+07   0.304178E+07   0.229157E+07   0.228160E+07   0.228155E+07   0.229009E+07  -0.600478E+00   0.227722E+07   0.227722E+07   0.722241E-01
   0.155085E-04   0.228155E+07   0.228155E+07   0.304171E+07   0.304171E+07   0.229156E+07   0.228160E+07   0.228155E+07   0.229009E+07  -0.600478E+00   0.227722E+07   0.227722E+07   0.797475E-01
   0.171240E-04   0.228155E+07   0.228155E+07   0.304163E+07   0.304163E+07   0.229156E+07   0.228160E+07   0.228155E+07   0.229009E+07  -0.600477E+00   0.227722E+07   0.227722E+07   0.880545E-01
   0.189078E-04   0.228155E+07   0.228155E+07   0.304154E+07   0.304153E+07   0.229155E+07   0.228160E+07   0.228155E+07   0.229009E+07  -0.600477E+00   0.227722E+07   0.227722E+07   0.972268E-01
   0.208774E-04   0.228155E+07   0.228155E+07   0.304142E+07   0.304141E+07   0.229154E+07   0.228160E+07   0.228155E+07   0.229008E+07  -0.600477E+00   0.227722E+07   0.227722E+07   0.107355E+00
   0.230522E-04   0.228155E+07   0.228155E+07   0.304128E+07   0.304127E+07   0.229152E+07   0.228159E+07   0.228155E+07   0.229008E+07  -0.600476E+00   0.227721E+07   0.227721E+07   0.118537E+00
   0.254535E-04   0.228155E+07   0.228155E+07   0.304110E+07   0.304109E+07   0.229151E+07   0.228159E+07   0.228155E+07   0.229008E+07  -0.600475E+00   0.227721E+07   0.227721E+07   0.130884E+00
   0.281050E-04   0.228154E+07   0.228154E+07   0.304089E+07   0.304087E+07   0.229149E+07   0.228159E+07   0.228154E+07   0.229008E+07  -0.600475E+00   0.227721E+07   0.227721E+07   0.144518E+00
   0.310326E-04   0.228154E+07   0.228154E+07   0.304063E+07   0.304061E+07   0.229146E+07   0.228159E+07   0.228154E+07   0.229007E+07  -0.600474E+00   0.227721E+07   0.227721E+07   0.159571E+00
   0.342653E-04   0.228154E+07   0.228154E+07   0.304031E+07   0.304029E+07   0.229144E+07   0.228158E+07   0.228154E+07   0.229007E+07  -0.600472E+00   0.227720E+07   0.227720E+07   0.176192E+00
   0.378346E-04   0.228154E+07   0.228153E+07   0.303992E+07   0.303989E+07   0.229140E+07   0.228158E+07   0.228154E+07   0.229006E+07  -0.600471E+00   0.227720E+07   0.227720E+07   0.194544E+00
