#    L    TT             EE             TE             PP             TP          
     2   0.102448E+04   0.326766E-01   0.269710E+01   0.103559E+07   0.282653E+05
     3   0.968882E+03   0.431851E-01   0.308601E+01   0.159470E+07   0.336992E+05
     4   0.915728E+03   0.389682E-01   0.296658E+01   0.209015E+07   0.361890E+05
     5   0.875963E+03   0.276342E-01   0.261399E+01   0.252739E+07   0.371277E+05
     6   0.848618E+03   0.170050E-01   0.220884E+01   0.291325E+07   0.372342E+05
     7   0.831003E+03   0.104811E-01   0.185146E+01   0.325536E+07   0.369020E+05
     8   0.820118E+03   0.758727E-02   0.158633E+01   0.355984E+07   0.362895E+05
     9   0.814498E+03   0.650292E-02   0.142031E+01   0.383206E+07   0.354761E+05
    10   0.812735E+03   0.594197E-02   0.134602E+01   0.407577E+07   0.345515E+05
    11   0.813453E+03   0.557377E-02   0.134605E+01   0.429551E+07   0.336280E+05
    12   0.817230E+03   0.567959E-02   0.140096E+01   0.449295E+07   0.327513E+05
    13   0.822438E+03   0.602513E-02   0.148452E+01   0.467056E+07   0.319097E+05
    14   0.828203E+03   0.690294E-02   0.157208E+01   0.483098E+07   0.310803E+05
    15   0.834901E+03   0.821723E-02   0.165967E+01   0.497591E+07   0.302375E+05
    16   0.843026E+03   0.979544E-02   0.174814E+01   0.510678E+07   0.293671E+05
    17   0.852599E+03   0.117666E-01   0.183381E+01   0.522510E+07   0.285031E+05
    18   0.862756E+03   0.141197E-01   0.191417E+01   0.533221E+07   0.276830E+05
    19   0.874334E+03   0.168302E-01   0.198934E+01   0.542880E+07   0.269069E+05
    20   0.885650E+03   0.199194E-01   0.205779E+01   0.551551E+07   0.261670E+05
    21   0.897072E+03   0.233375E-01   0.212312E+01   0.559341E+07   0.254575E+05
    22   0.908903E+03   0.271023E-01   0.218747E+01   0.566355E+07   0.247747E+05
    23   0.920985E+03   0.312163E-01   0.224688E+01   0.572645E+07   0.241191E+05
    24   0.933404E+03   0.356495E-01   0.229658E+01   0.578253E+07   0.234916E+05
    25   0.946121E+03   0.404321E-01   0.233460E+01   0.583238E+07   0.228903E+05
    26   0.958963E+03   0.455634E-01   0.236094E+01   0.587659E+07   0.223122E+05
    27   0.972165E+03   0.510249E-01   0.237339E+01   0.591564E+07   0.217523E+05
    28   0.985579E+03   0.568277E-01   0.237093E+01   0.594989E+07   0.212072E+05
    29   0.999263E+03   0.630039E-01   0.235420E+01   0.597943E+07   0.206814E+05
    30   0.101313E+04   0.695895E-01   0.232334E+01   0.600437E+07   0.201798E+05
    31   0.102704E+04   0.765764E-01   0.228112E+01   0.602524E+07   0.197006E+05
    32   0.104122E+04   0.839366E-01   0.222965E+01   0.604260E+07   0.192407E+05
    33   0.105569E+04   0.916571E-01   0.216589E+01   0.605668E+07   0.187977E+05
    34   0.107031E+04   0.997454E-01   0.208740E+01   0.606762E+07   0.183693E+05
    35   0.108505E+04   0.108229E+00   0.199627E+01   0.607564E+07   0.179532E+05
    36   0.109984E+04   0.117136E+00   0.189381E+01   0.608096E+07   0.175490E+05
    37   0.111469E+04   0.126444E+00   0.177761E+01   0.608376E+07   0.171621E+05
    38   0.112989E+04   0.136125E+00   0.164682E+01   0.608422E+07   0.167974E+05
    39   0.114544E+04   0.146166E+00   0.150166E+01   0.608247E+07   0.164509E+05
    40   0.116108E+04   0.156557E+00   0.134245E+01   0.607863E+07   0.161166E+05
    41   0.117694E+04   0.167299E+00   0.116920E+01   0.607279E+07   0.157895E+05
    42   0.119278E+04   0.178398E+00   0.981560E+00   0.606509E+07   0.154693E+05
