#    L    TT             EE             TE          
     2   0.102671E+04   0.321609E-01   0.266914E+01
     3   0.971079E+03   0.419532E-01   0.301493E+01
     4   0.917899E+03   0.370286E-01   0.284396E+01
     5   0.878221E+03   0.251826E-01   0.243443E+01
     6   0.851098E+03   0.142928E-01   0.196935E+01
     7   0.833828E+03   0.771236E-02   0.155107E+01
     8   0.823420E+03   0.487693E-02   0.122590E+01
     9   0.818465E+03   0.387102E-02   0.100137E+01
    10   0.817499E+03   0.331809E-02   0.871078E+00
    11   0.819128E+03   0.280583E-02   0.818344E+00
    12   0.823952E+03   0.255700E-02   0.824076E+00
    13   0.830327E+03   0.231159E-02   0.864159E+00
    14   0.837359E+03   0.234642E-02   0.915598E+00
    15   0.845444E+03   0.256082E-02   0.972342E+00
    16   0.855091E+03   0.278286E-02   0.103313E+01
    17   0.866291E+03   0.315348E-02   0.109573E+01
    18   0.878149E+03   0.367588E-02   0.115962E+01
    19   0.891504E+03   0.433806E-02   0.122528E+01
    20   0.904685E+03   0.517170E-02   0.129110E+01
    21   0.918060E+03   0.613121E-02   0.136036E+01
    22   0.931928E+03   0.723757E-02   0.143495E+01
    23   0.946120E+03   0.849601E-02   0.151112E+01
    24   0.960709E+03   0.987898E-02   0.158423E+01
    25   0.975650E+03   0.114147E-01   0.165160E+01
    26   0.990766E+03   0.131023E-01   0.171264E+01
    27   0.100630E+04   0.149320E-01   0.176582E+01
    28   0.102210E+04   0.169217E-01   0.181080E+01
    29   0.103822E+04   0.190927E-01   0.184785E+01
    30   0.105455E+04   0.214726E-01   0.187652E+01
    31   0.107097E+04   0.240702E-01   0.189936E+01
    32   0.108772E+04   0.268770E-01   0.191830E+01
    33   0.110481E+04   0.298803E-01   0.193018E+01
    34   0.112209E+04   0.330836E-01   0.193223E+01
    35   0.113951E+04   0.365101E-01   0.192550E+01
    36   0.115698E+04   0.401894E-01   0.191050E+01
    37   0.117455E+04   0.441245E-01   0.188571E+01
    38   0.119252E+04   0.483158E-01   0.185120E+01
    39   0.121087E+04   0.527513E-01   0.180671E+01
    40   0.122935E+04   0.574216E-01   0.175168E+01
    41   0.124805E+04   0.623266E-01   0.168534E+01
    42   0.126675E+04   0.674833E-01   0.160698E+01
    43   0.128560E+04   0.729129E-01   0.151594E+01
    44   0.130443E+04   0.786216E-01   0.141241E+01
    45   0.132361E+04   0.846262E-01   0.129670E+01
    46   0.134307E+04   0.909409E-01   0.116721E+01
    47   0.136267E+04   0.975570E-01   0.102469E+01
    48   0.138234E+04   0.104467E+00   0.873142E+00
    49   0.140216E+04   0.111641E+00   0.715974E+00
    50   0.142236E+04   0.119042E+00   0.549808E+00
    51   0.144273E+04   0.126632E+00   0.369900E+00
    52   0.146348E+04   0.134501E+00   0.171668E+00
    53   0.148424E+04   0.142804E+00  -0.475774E-01
    54   0.150492E+04   0.151541E+00  -0.282560E+00
    55   0.152574E+04   0.160698E+00  -0.527888E+00
    56   0.154691E+04   0.170134E+00  -0.784509E+00
    57   0.156837E+04   0.179741E+00  -0.105244E+01
    58   0.159012E+04   0.189520E+00  -0.133268E+01
    59   0.161203E+04   0.199505E+00  -0.162626E+01
    60   0.163411E+04   0.209744E+00  -0.193280E+01
    61   0.165665E+04   0.220326E+00  -0.225167E+01
    62   0.167908E+04   0.231239E+00  -0.258383E+01
    63   0.170161E+04   0.242446E+00  -0.293027E+01
    64   0.172455E+04   0.253963E+00  -0.329216E+01
